tag,freq, precision,recall,f_score,totalP,totalE
h.264,991,0,0,0,0,1
html4,103,0,0,0,0,0
pacemaker,100,0,0,0,0,0
biopython,139,0,0,0,0,0
screen-resolution,661,0,0,0,0,0
userscripts,415,0,0,0,0,0
prefix,380,0,0,0,0,0
tcp-ip,205,0,0,0,0,0
dropbox-api,314,0,0,0,0,0
ssms-2008,113,0,0,0,0,0
network-adapter,606,0,0,0,0,0
inline-editing,109,0,0,0,0,0
typeerror,428,0,0,0,0,1
xts,388,0,0,0,0,0
windows-ce,1654,0,0,0,0,0
electricity,238,0,0,0,0,0
openmpi,220,0,0,0,0,0
xunit,157,0,0,0,0,0
ramdisk,310,0,0,0,0,0
onsubmit,208,0,0,0,0,0
jquery-callback,172,0,0,0,0,0
filenotfoundexception,420,0,0,0,0,0
enterprise-architecture,123,0,0,0,0,0
http-authentication,371,0,0,0,0,0
dell,2123,0,0,0,0,0
cfc,249,0,0,0,0,0
browser-compatibility,1249,0,0,0,0,0
git-remote,116,0,0,0,0,0
rhomobile,289,0,0,0,0,0
ip-routing,120,0,0,0,0,0
custom-data-attribute,115,0,0,0,0,0
legacy-code,250,0,0,0,0,0
rabbitmq,1349,0,0,0,0,0
rich-text,268,0,0,0,0,0
vmware-server,800,0,0,0,0,0
computed-columns,179,0,0,0,0,0
fastercsv,177,0,0,0,0,0
listview,13760,0.5,0.5,0.5,2,2
http-referer,262,0,0,0,0,0
dynamics-crm,1492,0,0,0,0,1
pyglet,167,0,0,0,0,0
certificate-authority,402,0,0,0,0,0
errors,2109,0,0,0,0,0
sql-server-agent,166,0,0,0,0,0
bittorrent,1090,0,0,0,0,0
dbcontext,459,0,0,0,0,0
development-environment,1396,0,0,0,0,1
solrnet,325,0,0,0,0,0
cars,187,0,0,0,0,0
processing.js,179,0,0,0,0,0
window.location,180,0,0,0,0,0
tcpclient,693,0,0,0,0,0
widget,3643,0,0,0,0,0
webcontrols,417,0,0,0,0,0
custom-adapter,155,0,0,0,0,0
viewcontroller,573,0,0,0,0,0
jasmine,659,0,0,0,0,0
sunspot,458,0,0,0,0,0
kvm-switch,351,0,0,0,0,0
gregorian-calendar,119,0,0,0,0,0
facebook-opengraph,1124,0,0,0,0,0
gridlayout,267,0,0,0,0,0
filesystemobject,100,0,0,0,0,0
pytables,118,0,0,0,0,0
portable-applications,112,0,0,0,0,0
page-layout,425,0,0,0,0,0
wildcard-ssl,102,0,0,0,0,0
sketchflow,127,0,0,0,0,0
curve-fitting,293,0,0,0,0,0
treegrid,183,0,0,0,0,0
jquery-ajax,14113,0,0,0,0,2
projection,451,0,0,0,0,0
classification,703,0,0,0,0,1
contact-form,275,0,0,0,0,0
away3d,102,0,0,0,0,0
replace,4686,0,0,0,0,1
substr,301,0,0,0,0,0
unix,20205,1.0,0.111111111111,0.2,1,9
